Account,Region,PVC Namespace,PVC Name,EBS Volume ID,EBS Creation Date,Size in GB,EBS Type,IOPS (if any),Tags,Monthly cost,Yearly cost
700982990415,us-east-1,N/A,N/A,vol-0ab62abe393604fcd,2020-01-07 23:34:57.096000+00:00,8,gp2,100,[],$0.64,$7.68
700982990415,us-east-1,op-druid,tmp-op-druid-meters-0-data-2,vol-0a8dd03126e00434c,2023-10-05 23:56:32.867000+00:00,100,io1,1000,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-9dd3ca89-5f31-4800-ae2b-184df13beee0'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'tmp-op-druid-meters-0-data-2'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-9dd3ca89-5f31-4800-ae2b-184df13beee0'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-9dd3ca89-5f31-4800-ae2b-184df13beee0'}]",$8.00,$96.00
700982990415,us-east-1,op-druid,tmp-op-druid-metric-0-data-7,vol-052966b1fae322db0,2023-10-05 23:57:59.706000+00:00,100,io1,1000,"[{'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-b1b2c515-d2b0-4637-b29a-0dc8e938b770'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'tmp-op-druid-metric-0-data-7'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-b1b2c515-d2b0-4637-b29a-0dc8e938b770'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-b1b2c515-d2b0-4637-b29a-0dc8e938b770'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}]",$8.00,$96.00
700982990415,us-east-1,data-exporter,persistent-sending-queue-metrics-internal-collector-2,vol-0b8b54790c12cdbae,2023-09-26 00:18:47.808000+00:00,1,gp2,100,"[{'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-metrics-internal-collector-2'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-33ea380a-87b7-4a71-b1c7-494e1c83a887'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-33ea380a-87b7-4a71-b1c7-494e1c83a887'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-33ea380a-87b7-4a71-b1c7-494e1c83a887'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}]",$0.08,$0.96
700982990415,us-east-1,op-druid,tmp-op-druid-meters-0-data-0,vol-0df770652f27fa210,2023-10-05 23:56:32.699000+00:00,100,io1,1000,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-7696f0ac-737a-4360-ae9a-024a3a3951c8'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'tmp-op-druid-meters-0-data-0'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-7696f0ac-737a-4360-ae9a-024a3a3951c8'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-7696f0ac-737a-4360-ae9a-024a3a3951c8'}]",$8.00,$96.00
700982990415,us-east-1,audit-log,deleter-pv-deleter-db-dump-restore-0,vol-057ef664ef52ced44,2023-10-10 16:20:49.668000+00:00,1024,io1,5120,"[{'Key': 'CSIVolumeName', 'Value': 'pvc-77d3c95c-ce2b-4ae4-b958-afa4bd5e3c73'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-77d3c95c-ce2b-4ae4-b958-afa4bd5e3c73'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'deleter-pv-deleter-db-dump-restore-0'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-77d3c95c-ce2b-4ae4-b958-afa4bd5e3c73'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'audit-log'}]",$81.92,$983.04
700982990415,us-east-1,op-druid,var-op-druid-meters-0-data-1,vol-09aa98fa18b54d922,2023-10-05 23:56:32.784000+00:00,1024,io1,10240,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-fa0816f1-10be-48e1-bd14-6468a1f7c88c'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'var-op-druid-meters-0-data-1'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-fa0816f1-10be-48e1-bd14-6468a1f7c88c'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-fa0816f1-10be-48e1-bd14-6468a1f7c88c'}]",$81.92,$983.04
700982990415,us-east-1,op-druid,tmp-op-druid-metric-0-data-4,vol-0a47ef985cc9db490,2023-10-05 23:57:56.675000+00:00,100,io1,1000,"[{'Key': 'CSIVolumeName', 'Value': 'pvc-3626861c-b3bf-4f82-9517-bfc5043d0c21'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'tmp-op-druid-metric-0-data-4'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-3626861c-b3bf-4f82-9517-bfc5043d0c21'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-3626861c-b3bf-4f82-9517-bfc5043d0c21'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}]",$8.00,$96.00
700982990415,us-east-1,op-druid,var-op-druid-metric-0-data-1,vol-0a08e380b6a432680,2023-10-05 23:57:57.108000+00:00,1024,io1,10240,"[{'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-56a9ae82-6cbb-4a1d-8647-9c7e0f7199ff'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'var-op-druid-metric-0-data-1'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-56a9ae82-6cbb-4a1d-8647-9c7e0f7199ff'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-56a9ae82-6cbb-4a1d-8647-9c7e0f7199ff'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}]",$81.92,$983.04
700982990415,us-east-1,op-druid,datalogdir-op-druid-zk-v1-1,vol-058b371c52f4ac2d3,2023-07-24 23:28:08.745000+00:00,10,gp2,100,"[{'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-7d59f101-35ec-4e42-ac6f-6c01b836b748'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'datalogdir-op-druid-zk-v1-1'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-7d59f101-35ec-4e42-ac6f-6c01b836b748'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-7d59f101-35ec-4e42-ac6f-6c01b836b748'}]",$0.80,$9.60
700982990415,us-east-1,op-druid,var-op-druid-traces-0-data-0,vol-05872297ac6336ddf,2023-10-05 23:57:57.716000+00:00,1024,io1,10240,"[{'Key': 'CSIVolumeName', 'Value': 'pvc-b1e3ed92-eae0-4241-8697-837e81738565'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-b1e3ed92-eae0-4241-8697-837e81738565'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-b1e3ed92-eae0-4241-8697-837e81738565'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'var-op-druid-traces-0-data-0'}]",$81.92,$983.04
700982990415,us-east-1,op-druid,datalogdir-op-druid-zk-v1-0,vol-01cbe68580f2711e6,2023-07-24 23:27:38.715000+00:00,10,gp2,100,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-c66041a8-2478-4e3f-810d-b3d4cbb0e6db'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-c66041a8-2478-4e3f-810d-b3d4cbb0e6db'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-c66041a8-2478-4e3f-810d-b3d4cbb0e6db'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'datalogdir-op-druid-zk-v1-0'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}]",$0.80,$9.60
700982990415,us-east-1,data-exporter,persistent-sending-queue-traces-collector-0,vol-07782bb7428463cfb,2023-09-22 00:29:35.969000+00:00,1,gp2,100,"[{'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-5a331330-7a56-4b0c-ae0b-e9c8bdb39354'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-5a331330-7a56-4b0c-ae0b-e9c8bdb39354'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-traces-collector-0'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-5a331330-7a56-4b0c-ae0b-e9c8bdb39354'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}]",$0.08,$0.96
700982990415,us-east-1,op-druid,tmp-op-druid-meters-0-data-8,vol-0e40329a8e3f439e8,2023-10-05 23:56:33.407000+00:00,100,io1,1000,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-bfcbe497-ff37-4588-86f6-1054934ebfc6'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-bfcbe497-ff37-4588-86f6-1054934ebfc6'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-bfcbe497-ff37-4588-86f6-1054934ebfc6'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'tmp-op-druid-meters-0-data-8'}]",$8.00,$96.00
700982990415,us-east-1,data-exporter,persistent-sending-queue-logs-collector-2,vol-029d9ba482726ef17,2023-11-17 22:04:53.210000+00:00,1,gp2,100,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-955e5596-d563-4242-8ec4-79b251fd5ade'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-955e5596-d563-4242-8ec4-79b251fd5ade'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-logs-collector-2'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-955e5596-d563-4242-8ec4-79b251fd5ade'}]",$0.08,$0.96
700982990415,us-east-1,op-druid,tmp-op-druid-meters-0-data-7,vol-06195a1ee22e1dd63,2023-10-05 23:56:33.206000+00:00,100,io1,1000,"[{'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'tmp-op-druid-meters-0-data-7'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-37f4fd69-fc69-4170-84f8-6b84024ce433'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-37f4fd69-fc69-4170-84f8-6b84024ce433'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-37f4fd69-fc69-4170-84f8-6b84024ce433'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}]",$8.00,$96.00
700982990415,us-east-1,data-exporter,persistent-sending-queue-traces-collector-6,vol-0ef2f0bfb48eb0ca9,2024-02-01 20:28:30.946000+00:00,1,gp2,100,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-e235cc4e-d7ea-492d-baa4-ecfe99cbbe5a'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-traces-collector-6'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-e235cc4e-d7ea-492d-baa4-ecfe99cbbe5a'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-e235cc4e-d7ea-492d-baa4-ecfe99cbbe5a'}]",$0.08,$0.96
700982990415,us-east-1,data-exporter,persistent-sending-queue-logs-collector-1,vol-02a73f54b4ba7e366,2023-11-17 22:04:53.147000+00:00,1,gp2,100,"[{'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-logs-collector-1'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-46827152-addb-4e0c-9615-b495de0fc69f'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-46827152-addb-4e0c-9615-b495de0fc69f'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-46827152-addb-4e0c-9615-b495de0fc69f'}]",$0.08,$0.96
700982990415,us-east-1,data-exporter,persistent-sending-queue-logs-collector-5,vol-044354ad0255aa3ed,2023-11-17 22:04:53.348000+00:00,1,gp2,100,"[{'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-55e440c5-9152-4002-9289-9b0d9fdf09b5'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-logs-collector-5'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-55e440c5-9152-4002-9289-9b0d9fdf09b5'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-55e440c5-9152-4002-9289-9b0d9fdf09b5'}]",$0.08,$0.96
700982990415,us-east-1,op-druid,datadir-op-druid-zk-v1-4,vol-07d22d0bb013474a5,2023-07-24 23:29:50.322000+00:00,10,gp2,100,"[{'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'datadir-op-druid-zk-v1-4'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-4dbfe5a7-a067-4b3b-8187-6c63f48120e9'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-4dbfe5a7-a067-4b3b-8187-6c63f48120e9'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-4dbfe5a7-a067-4b3b-8187-6c63f48120e9'}]",$0.80,$9.60
700982990415,us-east-1,data-exporter,persistent-sending-queue-metrics-internal-collector-5,vol-07ede2f268e015fd2,2023-09-26 00:18:47.923000+00:00,1,gp2,100,"[{'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-metrics-internal-collector-5'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-19482a0a-7c0c-4e74-961c-c7b181afe794'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-19482a0a-7c0c-4e74-961c-c7b181afe794'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-19482a0a-7c0c-4e74-961c-c7b181afe794'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}]",$0.08,$0.96
700982990415,us-east-1,design-center,projects-service-pv-wc-redis-template-claim-projects-service-7,vol-01dc765f9dca0c3fb,2020-10-06 16:11:20.231000+00:00,100,io1,500,"[{'Key': 'KubernetesCluster', 'Value': 'stable5-us-east-1'}, {'Key': 'Name', 'Value': 'kubernetes-dynamic-pvc-e5235fa7-d0f1-40bb-9b12-c041b569c6ac'}, {'Key': 'kubernetes.io/cluster/stable5-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'projects-service-pv-wc-redis-template-claim-projects-service-7'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'design-center'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-e5235fa7-d0f1-40bb-9b12-c041b569c6ac'}]",$8.00,$96.00
700982990415,us-east-1,op-druid,datadir-op-druid-zk-v1-0,vol-0c6bad52bc686e9d2,2023-07-24 23:27:38.720000+00:00,10,gp2,100,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-c183453e-a541-4634-a0bb-77b436cdc4b6'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'datadir-op-druid-zk-v1-0'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-c183453e-a541-4634-a0bb-77b436cdc4b6'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-c183453e-a541-4634-a0bb-77b436cdc4b6'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}]",$0.80,$9.60
700982990415,us-east-1,data-exporter,persistent-sending-queue-traces-collector-9,vol-01f72022d22c0492b,2024-02-01 20:29:46.026000+00:00,1,gp2,100,"[{'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-da285453-459e-47cf-80ca-d02be8a8071e'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-traces-collector-9'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-da285453-459e-47cf-80ca-d02be8a8071e'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-da285453-459e-47cf-80ca-d02be8a8071e'}]",$0.08,$0.96
